row_id,Number_of_Priors,shap_value
919,0,-0.7179213
923,6,0.77595586
937,3,0.3892255
939,0,-0.7388293
951,12,1.2002355
962,0,-0.77406603
967,0,-0.7923416
968,0,-0.7388293
975,0,-0.7110707
977,0,-0.7388293
982,0,-0.7388293
986,9,1.2387611
995,4,0.50690424
998,0,-0.77406603
1003,3,0.3261795
1004,3,0.4098978
1008,0,-0.74567974
1014,1,-0.34421542
1023,1,-0.2586478
1027,1,-0.33330783
1034,0,-0.77406603
1042,6,0.77595586
1043,2,-0.0005306521
1049,0,-0.8416358
1053,1,-0.2586478
1060,2,-0.050856538
1070,0,-0.77406603
1072,0,-0.7388293
1078,1,-0.38612062
1080,0,-0.74567974
1084,1,-0.33330783
1086,2,0.0025208127
1093,1,-0.36312652
1106,4,0.49866188
1107,0,-0.77406603
1109,11,1.2002355
1111,5,0.538127
1120,4,0.48408765
1122,1,-0.20991775
1124,0,-0.7672155
1128,6,0.71126366
1129,6,0.7867004
1131,0,-0.7388293
1132,0,-0.7672155
1136,8,0.8768189
1139,0,-0.7388293
1142,0,-0.7179213
1144,7,0.8903662
1146,4,0.50690424
1150,0,-0.7672155
1154,0,-0.7110707
1157,1,-0.34421542
1158,0,-0.77406603
1165,3,0.3261873
1190,3,0.3261873
1191,0,-0.7388293
1199,8,0.9473765
1201,1,-0.36312652
1203,1,-0.2586478
1204,1,-0.33330783
1206,9,1.2534559
1207,1,-0.36312652
1224,3,0.3892255
1237,12,1.0880708
1238,3,0.3261873
1239,3,0.3261795
1240,6,0.7867004
1241,4,0.50690424
1245,1,-0.36720946
1246,1,-0.2586478
1255,0,-0.74567974
1256,2,0.0025208127
1264,8,0.914734
1265,0,-0.77406603
1272,0,-0.7672155
1277,13,1.1466209
1295,0,-0.7110707
1303,3,0.3261795
1316,0,-0.7110707
1320,24,2.5535264
1322,2,0.07456885
1323,0,-0.77406603
1324,0,-0.7388293
1332,1,-0.36720946
1337,0,-0.81324965
1341,2,0.022641996
1355,0,-0.7672155
1362,0,-0.7179213
1366,0,-0.77406603
1371,6,0.7867004
1375,9,1.2387611
1376,0,-0.7672155
1381,2,0.025693456
1384,0,-0.7923416
1391,2,-0.053908013
1405,24,2.348679
1406,1,-0.23973651
1410,0,-0.7179213
1411,0,-0.77406603
1415,1,-0.38612062
1416,27,2.5704975
1422,13,1.1809285
1425,1,-0.3563019
1440,1,-0.34421542
1442,23,2.5535264
1446,3,0.3261873
1450,3,0.32313573
1451,0,-0.77406603
1457,10,1.270102
1460,9,1.2387611
1463,0,-0.7110707
1465,0,-0.7110707
1471,8,0.87990993
1474,4,0.4529492
1479,0,-0.77406603
1491,0,-0.7672155
1496,1,-0.2586478
1498,2,0.051396172
1500,0,-0.84848636
1501,0,-0.7672155
1507,3,0.3892255
1508,2,0.022641996
1509,4,0.48408765
1513,0,-0.7854911
1514,0,-0.7388293
1525,24,2.348679
1529,0,-0.74567974
1531,23,2.5535264
1532,13,1.1809285
1534,0,-0.77406603
1539,5,0.528197
1540,2,-0.027683878
1541,0,-0.7179213
1544,0,-0.7672155
1547,3,0.3261873
1549,0,-0.84848636
1550,8,0.87990993
1551,2,-0.053908013
1554,2,0.04834471
1566,11,1.1595863
1569,0,-0.74567974
1570,0,-0.77406603
1571,10,1.3107513
1581,0,-0.82010007
1587,0,-0.7388293
1590,10,1.2441475
1591,1,-0.36312652
1603,7,0.8903662
1607,2,0.04834471
1608,0,-0.7388293
1614,14,1.1708204
1621,1,-0.36312652
1625,0,-0.77406603
1635,0,-0.7179213
1637,7,0.8903662
1645,0,-0.7179213
1661,1,-0.2586478
1672,5,0.48846182
1673,0,-0.7110707
1674,2,-0.050856538
1675,0,-0.7179213
1677,0,-0.8416358
1679,0,-0.7388293
1682,1,-0.36312652
1684,1,-0.2586478
1704,1,-0.38612062
1706,4,0.52980053
1709,2,-0.0005306521
1711,0,-0.7672155
1715,1,-0.34421542
1730,0,-0.7110707
1731,2,0.0025208127
1734,0,-0.74567974
1735,0,-0.7672155
1740,2,-0.0005306521
1760,0,-0.7672155
1773,4,0.50690424
1779,0,-0.7388293
1780,4,0.50690424
1785,0,-0.81324965
1786,2,-0.053908013
1795,0,-0.77406603
1810,2,-0.050856538
1818,1,-0.2586478
1830,15,1.174805
1839,0,-0.84848636
1850,0,-0.8416358
1851,0,-0.7388293
1853,4,0.49866188
1855,4,0.50690424
1860,0,-0.84848636
1863,0,-0.7110707
1865,2,0.051396172
1869,7,0.9578329
1874,0,-0.7672155
1893,0,-0.7179213
1894,10,1.270102
1895,3,0.3261873
1897,0,-0.7179213
1900,3,0.32312796
1905,0,-0.81324965
1906,0,-0.74567974
1907,1,-0.38612062
1929,1,-0.33330783
1933,9,1.2387611
1935,1,-0.228829
1943,1,-0.2586478
1957,14,1.2477114
1971,0,-0.81324965
1977,1,-0.2586478
1982,1,-0.2586478
1983,0,-0.7388293
1986,1,-0.2586478
1989,0,-0.7672155
1991,17,1.6767908
1996,1,-0.36312652
1998,4,0.4529492
2000,0,-0.84848636
2002,1,-0.3563019
2007,3,0.32313573
2008,1,-0.36312652
2010,10,1.3876426
2011,10,1.3107513
2014,10,1.2441475
2019,0,-0.7923416
2025,0,-0.7388293
2028,0,-0.7672155
2029,7,0.9547417
2031,0,-0.77406603
2033,1,-0.2586478
2035,11,1.1595863
2036,0,-0.7388293
2038,4,0.50690424
2040,0,-0.7672155
2041,1,-0.38612062
2042,0,-0.74567974
2043,0,-0.84848636
2045,2,-0.050856538
2050,1,-0.33330783
2054,9,1.2387611
2055,1,-0.38612062
2056,1,-0.36312652
2060,13,1.1466209
2080,1,-0.36720946
2085,0,-0.7672155
2086,0,-0.7388293
2087,1,-0.33330783
2094,1,-0.3563019
2098,18,1.6170682
2103,7,0.8903662
2104,20,1.6192753
2109,5,0.528197
2111,0,-0.74567974
2122,0,-0.7672155
2129,0,-0.7179213
2140,1,-0.228829
2142,2,-0.027683878
2143,2,-0.0005306521
2144,0,-0.84848636
2145,0,-0.7388293
2147,0,-0.7110707
2148,1,-0.3563019
2150,5,0.528197
2164,0,-0.77406603
2173,10,1.270102
2176,2,-0.053908013
2178,0,-0.81324965
2179,6,0.7005192
2184,13,1.1809285
2185,0,-0.7110707
2194,0,-0.7388293
2196,2,-0.053908013
2220,7,0.8903662
2236,0,-0.7672155
2237,2,-0.050856538
2243,1,-0.34421542
2249,7,0.9033322
2254,0,-0.84848636
2255,7,0.9578329
2265,1,-0.36312652
2278,3,0.38617402
2280,3,0.3261873
2282,0,-0.7672155
2285,6,0.7867004
2288,1,-0.36312652
2290,10,1.270102
2292,13,1.2215776
2294,1,-0.228829
2296,8,0.914734
2299,6,0.7867004
2307,0,-0.8416358
2316,3,0.32313573
2320,0,-0.7388293
2325,0,-0.7179213
2340,1,-0.34421542
2346,0,-0.8416358
2349,8,0.914734
2351,7,0.8903662
2367,9,1.2128066
2368,7,0.8903662
2386,0,-0.7388293
2391,2,-0.050856538
2393,0,-0.81324965
2394,2,0.051396172
2404,14,1.2114695
2405,6,0.7621756
2407,1,-0.33330783
2411,1,-0.228829
2421,5,0.50698864
2426,1,-0.38612062
2428,5,0.5096705
2431,0,-0.7854911
2434,3,0.4098978
2436,2,0.0025208127
2439,0,-0.82010007
2443,18,1.541224
2447,1,-0.36312652
2465,3,0.3261795
2470,0,-0.84848636
2471,2,-0.0005306521
2474,1,-0.31439677
2487,0,-0.7672155
2491,7,0.8903662
2492,5,0.528197
2496,1,-0.34421542
2501,0,-0.77406603
2503,24,2.5535264
2509,3,0.3261873
2515,0,-0.7388293
2518,0,-0.7388293
2520,0,-0.7388293
2524,1,-0.2586478
2526,1,-0.3563019
2528,5,0.49087515
2541,2,-0.0005306521
2543,24,2.2363958
2548,9,1.2794104
2553,9,1.2387611
2557,3,0.32312796
2561,9,1.2387611
2563,0,-0.77406603
2564,5,0.528197
2565,0,-0.7179213
2569,1,-0.3563019
2571,1,-0.2586478
2574,0,-0.77406603
2581,2,0.0025208127
2584,0,-0.7179213
2585,7,0.8903662
2587,1,-0.23973651
2590,10,1.270102
2607,5,0.528197
2610,20,1.5256518
2611,0,-0.74567974
2621,0,-0.7923416
2636,1,-0.36312652
2637,0,-0.77406603
2644,0,-0.7388293
2646,3,0.3261795
2647,21,1.890198
2648,5,0.528197
2658,3,0.3892255
2661,1,-0.2586478
2662,0,-0.7179213
2671,3,0.3468596
2681,3,0.3261795
2687,8,0.87990993
2697,0,-0.7179213
2699,7,0.8903662
2708,0,-0.84848636
2710,1,-0.228829
2716,0,-0.7672155
2722,1,-0.228829
2724,0,-0.84848636
2726,0,-0.8416358
2727,0,-0.7179213
2731,0,-0.7388293
2735,0,-0.7110707
2745,4,0.4529492
2749,9,1.2128066
2753,1,-0.36312652
2761,0,-0.74567974
2763,1,-0.31439677
2768,1,-0.228829
2780,9,1.2387611
2782,1,-0.36312652
2795,2,0.025693456
2796,8,0.87990993
2799,1,-0.228829
2804,13,1.18727
2812,3,0.3892255
2815,0,-0.74567974
2816,1,-0.36720946
2821,2,0.0025208127
2823,2,0.07456885
2838,7,0.8903662
2839,6,0.77595586
2845,10,1.270102
2852,1,-0.33330783
2858,3,0.41294926
2863,1,-0.20991775
2865,0,-0.77406603
2877,9,1.2387611
2879,0,-0.7388293
2881,7,0.8903662
2890,1,-0.38612062
2898,0,-0.74567974
2912,10,1.3210386
2922,1,-0.2586478
2931,0,-0.77406603
2934,3,0.3261873
2935,2,-0.050856538
2941,0,-0.74567974
2946,7,0.8903662
2947,0,-0.7179213
2948,11,1.2364774
2954,8,0.914734
2955,0,-0.84848636
2958,4,0.50690424
2963,0,-0.7110707
2966,1,-0.36312652
2972,7,0.88727516
2983,0,-0.74567974
2987,8,0.8768189
3007,0,-0.7388293
3008,3,0.41294926
3010,3,0.3261795
3012,0,-0.74567974
3016,8,0.87990993
3030,3,0.4098978
3038,0,-0.7179213
3041,4,0.4529492
3043,0,-0.7672155
3044,1,-0.36312652
3048,4,0.53804266
3051,0,-0.7179213
3056,0,-0.7388293
3057,4,0.50690424
3058,0,-0.77406603
3069,13,1.1466209
3071,0,-0.77406603
3072,7,0.88727516
3076,3,0.3261873
3077,1,-0.33330783
3083,1,-0.33330783
3084,0,-0.77406603
3086,1,-0.31439677
3090,2,0.051396172
3091,0,-0.84848636
3104,0,-0.7388293
3107,0,-0.7179213
3111,0,-0.7672155
3115,1,-0.34421542
3127,3,0.32313573
3141,1,-0.3563019
3142,2,-0.050856538
3155,0,-0.84848636
3168,5,0.5096705
3169,3,0.3892255
3176,10,1.2441475
3178,6,0.77595586
3184,1,-0.2586478
3185,0,-0.77406603
3187,0,-0.7923416
3188,0,-0.82010007
3201,2,0.051396172
3204,1,-0.34421542
3214,1,-0.36312652
3224,0,-0.77406603
3225,0,-0.7672155
3229,7,0.9002411
3231,5,0.528197
3232,1,-0.36312652
3244,10,1.2441475
3252,4,0.4529492
3260,0,-0.84848636
3261,11,1.0474211
3266,1,-0.38612062
3268,1,-0.228829
3273,0,-0.77406603
3277,0,-0.7672155
3281,0,-0.77406603
3289,0,-0.74567974
3293,0,-0.7672155
3295,2,0.025693456
3296,2,-0.050856538
3300,0,-0.77406603
3303,1,-0.2586478
3305,0,-0.7672155
3310,13,1.1809285
3314,1,-0.33330783
3318,0,-0.7110707
3323,3,0.3261873
3327,1,-0.36312652
3345,2,-0.050856538
3350,4,0.49866188
3361,0,-0.81324965
3365,4,0.53804266
3368,2,0.0025208127
3382,3,0.3261795
3383,3,0.3261873
3390,0,-0.7672155
3396,0,-0.77406603
3400,12,1.1595863
3414,7,0.8903662
3418,0,-0.81324965
3420,0,-0.77406603
3428,3,0.32312796
3430,10,1.3107513
3431,0,-0.7110707
3436,0,-0.84848636
3437,0,-0.7388293
3441,1,-0.33330783
3446,2,0.025693456
3451,8,0.914734
3454,0,-0.7179213
3457,6,0.7867004
3466,2,0.051396172
3470,4,0.49866188
3473,1,-0.38612062
3479,0,-0.7388293
3480,2,-0.0005306521
3490,2,0.0025208127
3491,3,0.3261795
3520,1,-0.33330783
3529,0,-0.7388293
3534,3,0.3892255
3537,3,0.32313573
3539,2,0.022641996
3545,11,1.1659279
3546,0,-0.77406603
3547,0,-0.7388293
3548,2,0.051396172
3551,8,0.94428545
3552,3,0.3892255
3556,0,-0.8416358
3558,6,0.77595586
3571,6,0.71126366
3574,6,0.8251697
3578,1,-0.38612062
3584,2,0.022641996
3585,0,-0.7672155
3596,3,0.41294926
3598,0,-0.77406603
3607,1,-0.36312652
3612,3,0.3261873
3617,0,-0.7388293
3618,0,-0.81324965
3621,4,0.4529492
3629,0,-0.84848636
3634,1,-0.33330783
3637,7,0.9033322
3641,1,-0.36312652
3646,2,0.0025208127
3651,1,-0.38612062
3680,2,0.025693456
3690,0,-0.7854911
3706,0,-0.7854911
3713,21,1.8069575
3715,0,-0.84848636
3718,2,0.051396172
3721,0,-0.77406603
3727,1,-0.34421542
3728,15,1.274086
3729,0,-0.7672155
3732,0,-0.7388293
3746,10,1.270102
3748,1,-0.3563019
3754,0,-0.77406603
3755,12,1.1595863
3756,4,0.52980053
3759,1,-0.36312652
3763,0,-0.7672155
3765,1,-0.34421542
3770,0,-0.84848636
3772,1,-0.2586478
3773,0,-0.7388293
3775,2,0.04834471
3787,0,-0.84848636
3789,2,0.0025208127
3793,4,0.4529492
3796,9,1.2387611
3797,0,-0.7110707
3808,13,1.1809285
3813,1,-0.31439677
3816,0,-0.7388293
3828,13,1.1466209
3834,0,-0.7388293
3835,2,0.025693456
3836,8,0.87990993
3861,3,0.38617402
3867,1,-0.36312652
3881,1,-0.36312652
3883,0,-0.7672155
3887,1,-0.2586478
3889,2,-0.050856538
3891,4,0.49276143
3893,2,0.051396172
3895,0,-0.7672155
3898,0,-0.7388293
3903,0,-0.77406603
3904,2,-0.027683878
3908,5,0.528197
3920,2,-0.0005306521
3927,4,0.4529492
3928,8,0.9116429
3931,0,-0.7672155
3934,2,0.0025208127
3938,5,0.528197
3953,1,-0.38612062
3957,0,-0.74567974
3960,4,0.4845191
3974,4,0.4447068
3977,0,-0.7110707
3986,0,-0.77406603
3994,1,-0.36312652
4002,0,-0.74567974
4003,1,-0.3563019
4004,4,0.4529492
4005,1,-0.33330783
4010,6,0.77595586
4014,0,-0.7388293
4016,1,-0.36312652
4018,7,0.8903662
4028,0,-0.7672155
4032,0,-0.7110707
4034,0,-0.7672155
4044,7,0.8903662
4049,1,-0.36312652
4056,5,0.5096705
4064,8,0.87990993
4066,0,-0.7110707
4070,0,-0.7923416
4072,0,-0.84848636
4076,0,-0.77406603
4081,3,0.3892255
4090,24,2.348679
4093,3,0.3261795
4097,2,0.04834471
4100,3,0.3261873
4105,3,0.3261873
4110,24,2.348679
4111,2,0.051396172
4112,2,0.0025208127
4120,1,-0.2586478
4130,3,0.3892255
4132,8,0.9116429
4141,12,1.1595863
4150,4,0.49866188
4151,9,1.2472043
4159,1,-0.2586478
4161,0,-0.77406603
4168,0,-0.74567974
4182,13,1.1809285
4183,13,1.2215776
4191,0,-0.7388293
4200,0,-0.7388293
4201,0,-0.7388293
4204,1,-0.36312652
4211,1,-0.33330783
4220,1,-0.2586478
4222,0,-0.84848636
4227,0,-0.74567974
4237,3,0.3261873
4241,0,-0.74567974
4245,8,0.87990993
4248,1,-0.36312652
4249,1,-0.31439677
4254,1,-0.36312652
4256,2,0.022641996
4266,0,-0.77406603
4271,11,1.2002355
4278,1,-0.38612062
4295,0,-0.7672155
4307,4,0.50690424
4308,0,-0.7179213
4311,0,-0.7388293
4312,0,-0.84848636
4314,2,-0.053908013
4322,2,-0.053908013
4328,6,0.7867004
4334,3,0.3261873
4355,0,-0.7388293
4357,8,0.9116429
4358,1,-0.36312652
4360,1,-0.3563019
4368,7,0.88727516
4373,6,0.8144251
4374,2,0.0025208127
4380,8,0.87990993
4381,1,-0.228829
4382,4,0.53804266
4386,11,1.2002355
4388,3,0.38617402
4390,2,0.0025208127
4391,0,-0.7854911
4395,4,0.52980053
4399,4,0.49866188
4402,2,0.051396172
4404,8,0.914734
4408,0,-0.74567974
4411,3,0.3892255
4418,8,0.87990993
4423,2,0.07456885
4426,1,-0.36312652
4428,17,1.7526351
4429,0,-0.7672155
4435,0,-0.82010007
4451,0,-0.7388293
4458,0,-0.77406603
4461,0,-0.7179213
4462,2,-0.0005306521
4463,2,0.0025208127
4476,0,-0.7388293
4478,0,-0.8416358
4485,2,0.04834471
4486,0,-0.7672155
4489,6,0.7867004
4497,1,-0.33330783
4499,0,-0.74567974
4502,10,1.270102
4507,3,0.4098978
4509,0,-0.7179213
4511,2,0.04834471
4533,15,1.1460441
4538,2,0.051396172
4541,0,-0.7388293
4549,0,-0.82010007
4560,1,-0.2586478
4565,0,-0.7388293
4568,1,-0.2586478
4570,0,-0.77406603
4571,1,-0.36720946
4573,1,-0.36312652
4587,0,-0.7672155
4589,0,-0.7110707
4602,8,0.9116429
4605,0,-0.7110707
4610,8,0.8768189
4611,2,-0.050856538
4615,3,0.38617402
4619,1,-0.23973651
4620,0,-0.7179213
4622,0,-0.7388293
4623,0,-0.82010007
4624,3,0.38617402
4627,1,-0.36312652
4628,0,-0.7179213
4639,1,-0.2586478
4648,0,-0.7110707
4649,6,0.7867004
4653,5,0.528197
4665,12,1.0474211
4667,0,-0.7923416
4669,2,0.0025208127
4685,13,1.2578195
4690,1,-0.3563019
4691,2,0.0025208127
4695,2,0.0025208127
4698,0,-0.81324965
4700,4,0.50690424
4709,0,-0.7110707
4713,7,0.8903662
4715,0,-0.7672155
4720,0,-0.7179213
4723,2,0.0025208127
4729,0,-0.81324965
4735,1,-0.34421542
4739,18,1.6170682
4762,7,0.8903662
4770,7,0.9547417
4776,0,-0.7388293
4781,1,-0.20991775
4788,10,1.270102
4791,0,-0.84848636
4797,10,1.3469931
4806,8,0.8768189
4807,2,-0.053908013
4811,2,-0.0005306521
4815,2,-0.030735342
4817,1,-0.3563019
4822,0,-0.7672155
4828,0,-0.7388293
4830,2,0.0025208127
4840,1,-0.36312652
4844,1,-0.36312652
4845,14,1.1708204
4849,6,0.7867004
4853,4,0.4529492
4866,2,0.051396172
4867,7,0.8903662
4872,0,-0.77406603
4881,19,1.6826158
4887,4,0.50690424
4890,4,0.49276143
4905,0,-0.77406603
4908,0,-0.84848636
4914,0,-0.7110707
4916,3,0.3892255
4917,0,-0.77406603
4919,1,-0.2586478
4926,8,0.914734
4934,1,-0.2586478
4938,1,-0.33330783
4941,0,-0.7110707
4943,0,-0.8416358
4950,3,0.34990332
4952,1,-0.23973651
4955,0,-0.84848636
4963,1,-0.38612062
4971,9,1.2794104
4972,19,1.6826158
4994,0,-0.7672155
4996,0,-0.77406603
5000,0,-0.7672155
5002,0,-0.7672155
5004,0,-0.74567974
5005,0,-0.7179213
5008,0,-0.7179213
5012,7,0.9578329
5014,0,-0.7110707
5017,2,0.04834471
5026,0,-0.7672155
5029,3,0.4098978
5059,2,0.051396172
5062,5,0.528197
5063,1,-0.3563019
5068,1,-0.2586478
5069,3,0.38617402
5070,1,-0.34421542
5071,0,-0.7388293
5072,3,0.3892255
5077,0,-0.7110707
5093,1,-0.31439677
5094,10,1.1550535
5100,2,-0.053908013
5104,1,-0.2586478
5105,3,0.3261873
5111,11,1.1595863
5112,7,0.88727516
5114,11,1.1595863
5119,2,0.0025208127
5120,0,-0.74567974
5122,5,0.528197
5125,1,-0.228829
5126,0,-0.82010007
5130,1,-0.2586478
5139,0,-0.7672155
5142,0,-0.77406603
5144,1,-0.2586478
5150,0,-0.7923416
5152,0,-0.84848636
5153,13,1.1466209
5155,4,0.46162286
5158,1,-0.31439677
5162,1,-0.33330783
5165,4,0.46162286
5166,6,0.77292013
5173,0,-0.7672155
5177,0,-0.74567974
5189,2,-0.0005306521
5195,3,0.3892255
5196,0,-0.7672155
5198,0,-0.7672155
5199,0,-0.7179213
5204,0,-0.7110707
5212,0,-0.7179213
5213,0,-0.84848636
5218,0,-0.7672155
5221,4,0.50690424
5222,10,1.270102
5224,4,0.53804266
5227,1,-0.36312652
5229,0,-0.74567974
5233,10,1.270102
5235,1,-0.2586478
5240,1,-0.2586478
5242,0,-0.7388293
5246,0,-0.84848636
5248,8,0.914734
5251,2,0.051396172
5252,4,0.50690424
5253,21,2.030682
5258,9,1.2387611
5261,0,-0.7923416
5263,10,1.2441475
5267,0,-0.7110707
5281,1,-0.228829
5285,20,1.6192753
5286,1,-0.31439677
5290,1,-0.36312652
5300,2,0.0025208127
5305,0,-0.8416358
5306,0,-0.7179213
5309,12,1.2002355
5310,0,-0.74567974
5311,0,-0.74567974
5315,0,-0.74567974
5326,7,0.9033322
5338,7,0.8903662
5342,2,0.0025208127
5345,6,0.7867004
5347,5,0.528197
5352,3,0.3892255
5355,5,0.50698864
5362,1,-0.36312652
5367,1,-0.2586478
5370,0,-0.77406603
5375,5,0.5096705
5377,0,-0.7854911
5378,0,-0.82010007
5383,0,-0.7854911
5384,0,-0.74567974
5388,4,0.46162286
5396,1,-0.2586478
5414,9,1.3563017
5416,3,0.3892255
5418,3,0.3261795
5419,0,-0.77406603
5427,1,-0.2586478
5438,2,-0.0005306521
5439,0,-0.84848636
5440,2,0.0025208127
5454,8,0.7884963
5479,4,0.49866188
5483,4,0.49866188
5490,2,-0.0005306521
5491,0,-0.7179213
5495,2,0.0025208127
5496,27,2.5704975
5520,0,-0.7110707
5543,0,-0.7923416
5547,9,1.2387611
5564,1,-0.33330783
5569,14,1.1708204
5571,15,1.058694
5574,0,-0.7110707
5587,12,1.1659279
5590,13,1.1809285
5591,0,-0.7854911
5603,0,-0.8416358
5606,0,-0.74567974
5607,0,-0.7388293
5609,9,1.2387611
5611,2,0.07456885
5612,0,-0.7388293
5615,0,-0.7672155
5618,0,-0.7388293
5619,0,-0.7110707
5620,7,0.9578329
5621,0,-0.7854911
5622,9,1.2794104
5624,2,-0.030735342
5629,0,-0.7388293
5632,1,-0.34421542
5637,0,-0.7672155
5638,2,0.025693456
5649,3,0.41294926
5673,0,-0.77406603
5679,11,1.2002355
5689,0,-0.77406603
5690,0,-0.7672155
5692,0,-0.7110707
5693,2,-0.053908013
5697,0,-0.77406603
5698,3,0.38617402
5704,25,2.6689982
5711,0,-0.82010007
5712,4,0.46162286
5715,0,-0.74567974
5720,0,-0.7672155
5723,2,0.0025208127
5724,0,-0.7179213
5732,3,0.38617402
5737,1,-0.36312652
5741,3,0.3261795
5744,0,-0.77406603
5747,0,-0.84848636
5750,0,-0.77406603
5756,3,0.38617402
5758,0,-0.7388293
5759,1,-0.2586478
5760,1,-0.36312652
5761,3,0.38617402
5763,0,-0.7179213
5768,2,-0.050856538
5769,6,0.7867004
5775,0,-0.7179213
5779,0,-0.74567974
5785,1,-0.36720946
5793,1,-0.228829
5807,0,-0.8416358
5810,0,-0.7923416
5811,0,-0.7672155
5814,0,-0.84848636
5816,10,1.270102
5817,1,-0.228829
5829,38,2.682781
5833,1,-0.3563019
5836,0,-0.7110707
5843,2,-0.0005306521
5844,17,1.7526351
5850,0,-0.7672155
5853,1,-0.33330783
5855,1,-0.38612062
5857,3,0.3468517
5859,5,0.55933553
5866,0,-0.8416358
5867,3,0.32313573
5876,2,-0.0005306521
5885,15,1.174805
5886,0,-0.7672155
5891,1,-0.36312652
5895,0,-0.7388293
5897,2,-0.0005306521
5898,0,-0.81324965
5901,3,0.3892255
5906,8,0.9473765
5907,8,0.87990993
5908,1,-0.228829
5915,3,0.32312796
5926,1,-0.36312652
5928,11,1.1252787
5936,8,0.914734
5939,2,0.0025208127
5957,6,0.8251697
5962,1,-0.33330783
5966,6,0.77595586
5984,0,-0.7854911
5985,4,0.50690424
5988,9,1.2387611
5993,1,-0.34421542
5996,0,-0.7388293
6004,23,2.348679
6005,0,-0.77406603
6010,1,-0.20991775
6016,5,0.55933553
6018,1,-0.31439677
6023,1,-0.33330783
6024,0,-0.8416358
6025,0,-0.7923416
6031,0,-0.7388293
6032,4,0.46162286
6033,1,-0.31439677
6039,0,-0.7110707
6045,0,-0.7672155
6047,9,1.3303472
6059,10,1.2441475
6063,8,0.87990993
6081,5,0.55933553
6083,2,0.0025208127
6084,1,-0.2586478
6086,4,0.4529492
6089,6,0.8144251
6091,2,0.0025208127
6098,11,1.1595863
6099,1,-0.36720946
