row_id,Two_yr_Recidivism,Number_of_Priors,Age_Above_FourtyFive,Age_Below_TwentyFive,African_American,Asian,Hispanic,Native_American,Other,Female,Misdemeanor
118,0,1,0,0,1,0,0,0,0,0,1
119,1,1,1,0,0,0,0,0,0,0,0
120,0,1,0,1,1,0,0,0,0,1,0
121,0,0,0,0,0,0,0,0,0,1,1
122,1,9,0,0,1,0,0,0,0,0,0
123,1,11,0,0,1,0,0,0,0,0,0
124,1,8,0,0,1,0,0,0,0,0,1
125,1,0,0,0,1,0,0,0,0,1,0
126,1,7,0,0,1,0,0,0,0,1,0
127,1,2,0,0,1,0,0,0,0,0,0
128,0,0,0,1,1,0,0,0,0,1,0
129,0,0,0,0,0,0,0,0,0,1,1
130,1,1,1,0,1,0,0,0,0,1,0
131,1,13,1,0,0,0,0,0,1,0,0
132,0,1,1,0,0,0,1,0,0,0,0
133,1,4,0,0,1,0,0,0,0,1,0
134,0,1,0,0,0,0,1,0,0,0,0
135,1,2,0,0,1,0,0,0,0,1,1
136,0,1,0,0,0,0,0,0,0,0,1
137,1,3,0,0,0,0,0,0,0,1,0
138,0,1,0,0,1,0,0,0,0,0,0
139,0,2,1,0,0,0,0,0,0,0,1
140,0,1,0,1,1,0,0,0,0,0,0
141,1,6,1,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0
143,1,1,0,0,1,0,0,0,0,0,1
144,0,0,0,1,0,0,1,0,0,0,0
145,0,5,0,0,1,0,0,0,0,1,0
146,0,2,1,0,0,0,1,0,0,0,1
147,0,8,1,0,1,0,0,0,0,0,0
148,1,8,0,0,0,0,1,0,0,0,0
149,1,6,0,0,1,0,0,0,0,0,1
150,0,2,1,0,0,0,1,0,0,0,0
151,0,0,1,0,0,0,1,0,0,0,0
152,1,1,1,0,0,0,0,0,0,0,1
153,0,0,1,0,0,0,0,0,0,0,0
154,0,0,0,1,0,0,0,0,1,0,0
155,1,1,0,1,1,0,0,0,0,0,0
156,1,23,1,0,1,0,0,0,0,0,1
157,1,0,0,1,1,0,0,0,0,0,1
158,0,1,1,0,0,0,1,0,0,0,0
159,0,3,1,0,1,0,0,0,0,0,0
160,1,8,1,0,0,0,0,0,0,0,1
161,1,2,0,0,1,0,0,0,0,0,1
162,1,0,0,0,0,0,0,0,0,0,0
163,1,9,0,0,1,0,0,0,0,0,0
164,0,2,1,0,0,0,0,0,0,0,0
165,1,0,0,1,1,0,0,0,0,0,0
166,0,2,0,0,1,0,0,0,0,0,1
167,0,1,0,1,1,0,0,0,0,1,1
168,1,2,0,0,0,0,0,0,1,0,1
169,0,1,1,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,1,1
171,0,4,0,0,0,0,0,0,0,0,1
172,1,23,0,0,1,0,0,0,0,1,0
173,1,5,0,1,0,0,0,0,1,0,0
174,1,2,0,0,1,0,0,0,0,0,0
175,0,0,0,0,1,0,0,0,0,0,1
176,0,0,0,0,1,0,0,0,0,1,0
177,1,7,0,0,0,0,0,0,0,1,0
178,0,2,0,0,1,0,0,0,0,0,0
179,0,1,0,0,1,0,0,0,0,1,0
180,1,7,1,0,0,0,0,0,0,0,0
181,0,15,0,0,1,0,0,0,0,0,0
182,0,2,0,0,1,0,0,0,0,0,1
183,1,0,1,0,0,0,0,0,0,1,1
184,0,0,1,0,0,0,0,0,0,0,1
185,1,1,0,0,0,0,0,0,1,0,1
186,0,0,1,0,1,0,0,0,0,0,0
187,1,4,0,0,0,0,0,0,0,0,0
188,0,2,0,0,1,0,0,0,0,1,0
189,0,5,0,0,1,0,0,0,0,1,1
190,1,11,0,0,1,0,0,0,0,0,0
191,0,0,0,0,1,0,0,0,0,0,1
192,1,4,0,0,0,0,0,0,1,0,0
193,0,11,1,0,1,0,0,0,0,0,0
194,0,2,0,1,1,0,0,0,0,0,0
195,0,0,0,0,1,0,0,0,0,0,1
196,0,0,1,0,0,0,0,0,0,0,0
197,1,13,0,0,0,0,0,0,0,0,0
198,0,0,1,0,1,0,0,0,0,0,0
199,0,1,0,0,0,0,0,0,0,0,0
200,1,11,0,0,1,0,0,0,0,0,1
201,0,1,0,0,0,0,0,0,0,0,0
202,0,0,0,1,1,0,0,0,0,0,0
203,0,4,0,0,1,0,0,0,0,0,0
204,0,4,0,0,0,0,1,0,0,0,0
205,1,0,0,0,0,0,0,0,0,0,0
206,1,0,0,0,0,0,0,0,0,0,0
207,0,14,0,0,1,0,0,0,0,0,0
208,0,1,1,0,0,0,0,0,0,0,1
209,1,25,0,0,1,0,0,0,0,0,0
210,1,8,0,0,0,0,0,0,0,0,1
211,0,0,0,0,1,0,0,0,0,0,0
212,1,1,0,1,0,0,0,0,0,0,1
213,0,0,0,0,0,0,0,0,1,1,1
214,0,3,0,0,0,0,0,0,1,1,0
215,0,0,0,0,0,0,1,0,0,1,1
216,1,1,0,1,0,0,1,0,0,0,0
217,1,5,0,1,0,0,0,0,0,1,0
218,0,0,0,1,0,0,1,0,0,0,1
219,0,1,0,0,1,0,0,0,0,0,1
220,1,1,0,1,1,0,0,0,0,0,0
221,1,2,0,0,1,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,1,0,0
223,0,4,0,0,1,0,0,0,0,0,0
224,0,2,0,0,1,0,0,0,0,1,0
225,0,0,0,1,1,0,0,0,0,0,0
226,0,0,0,1,0,0,1,0,0,0,0
227,0,0,1,0,1,0,0,0,0,1,0
228,1,0,0,1,1,0,0,0,0,1,0
229,0,0,1,0,1,0,0,0,0,1,0
230,0,0,0,0,0,0,0,0,0,0,0
231,1,0,0,0,0,0,0,0,0,0,0
232,1,11,0,0,1,0,0,0,0,0,0
233,1,3,0,1,1,0,0,0,0,0,1
234,0,1,0,1,0,0,0,0,0,1,0
235,0,2,0,0,1,0,0,0,0,1,1
236,0,0,0,0,0,0,0,0,1,1,0
237,1,3,1,0,1,0,0,0,0,0,0
238,0,0,0,0,1,0,0,0,0,0,0
239,0,3,0,0,0,0,0,0,0,0,0
240,0,1,1,0,0,0,0,0,0,0,1
241,0,3,1,0,0,0,0,0,0,0,0
242,1,0,0,1,1,0,0,0,0,0,1
243,1,1,0,0,1,0,0,0,0,0,1
244,1,3,0,0,0,0,1,0,0,0,0
245,0,5,0,0,0,0,0,0,0,0,1
246,0,5,0,0,1,0,0,0,0,0,1
247,1,0,0,1,0,0,0,0,0,0,0
248,1,5,0,0,1,0,0,0,0,0,0
249,1,6,0,0,1,0,0,0,0,0,0
250,0,0,0,1,0,0,0,0,1,0,0
251,0,2,1,0,0,0,0,0,0,0,0
252,0,0,0,1,1,0,0,0,0,1,1
253,1,4,0,1,1,0,0,0,0,0,1
254,0,0,1,0,0,0,0,0,0,0,0
255,0,5,0,0,0,0,0,0,0,0,0
256,1,2,0,0,0,0,0,0,1,0,0
257,0,5,0,0,1,0,0,0,0,1,0
258,0,0,0,1,0,0,1,0,0,0,0
259,0,0,0,0,1,0,0,0,0,0,1
260,1,0,0,0,0,0,0,0,0,0,1
261,1,3,0,0,0,0,0,0,0,0,1
262,0,0,0,0,0,0,0,0,0,1,0
263,1,9,0,1,0,0,0,0,1,0,0
264,0,0,0,0,1,0,0,0,0,0,0
265,1,0,0,1,1,0,0,0,0,0,0
266,0,0,1,0,0,0,0,0,0,1,1
267,0,0,1,0,0,0,0,0,0,0,1
268,0,7,0,0,1,0,0,0,0,0,0
269,1,0,0,1,1,0,0,0,0,0,0
270,0,8,0,0,0,0,0,0,0,0,0
271,1,2,0,1,1,0,0,0,0,0,0
272,1,36,1,0,0,0,0,0,0,0,0
273,1,2,0,0,0,0,0,0,0,0,1
274,0,3,0,1,0,0,1,0,0,0,0
275,0,0,0,0,1,0,0,0,0,1,0
276,1,2,0,0,0,0,0,0,0,1,1
277,0,1,0,1,0,0,1,0,0,1,1
278,0,1,0,0,0,0,0,0,0,0,0
279,1,0,0,1,1,0,0,0,0,1,0
280,0,0,0,0,0,0,0,0,0,0,1
281,0,0,0,1,1,0,0,0,0,0,0
282,1,1,0,0,0,0,0,0,1,0,0
283,0,0,0,0,1,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,1,1
285,0,1,1,0,0,0,1,0,0,0,1
286,1,12,0,0,1,0,0,0,0,0,0
287,0,1,0,1,1,0,0,0,0,0,0
288,0,3,1,0,1,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0,0,0
290,1,2,0,1,1,0,0,0,0,0,0
291,0,0,0,0,0,0,1,0,0,0,1
292,0,0,0,0,0,0,0,0,1,0,1
293,0,0,0,1,0,0,0,0,0,1,0
294,0,0,1,0,0,0,0,0,0,0,1
295,0,2,0,1,0,0,0,0,0,0,0
296,1,6,0,0,1,0,0,0,0,0,1
297,0,0,0,1,0,0,0,0,0,0,0
298,1,0,0,1,1,0,0,0,0,1,0
299,0,3,1,0,1,0,0,0,0,0,0
300,0,2,0,0,1,0,0,0,0,0,1
301,0,0,1,0,0,0,0,0,0,1,1
302,1,3,0,1,1,0,0,0,0,0,0
303,0,1,0,1,0,0,0,0,1,1,0
304,0,1,0,0,0,0,1,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0
306,0,1,0,1,1,0,0,0,0,0,0
307,1,2,0,1,0,0,0,0,0,0,1
308,1,4,0,1,1,0,0,0,0,0,0
309,1,0,0,1,1,0,0,0,0,0,0
310,0,1,0,0,0,0,0,0,0,0,1
311,1,1,1,0,0,0,0,0,0,1,1
312,1,0,0,0,0,0,0,0,0,0,0
313,1,7,0,0,1,0,0,0,0,0,0
314,0,1,1,0,0,0,0,0,0,1,1
315,0,0,0,1,1,0,0,0,0,1,0
316,0,1,0,0,1,0,0,0,0,0,0
317,0,1,0,0,1,0,0,0,0,0,1
318,1,6,0,0,1,0,0,0,0,0,0
319,1,4,0,1,1,0,0,0,0,0,0
320,0,3,0,1,0,0,0,0,0,0,1
321,1,23,0,0,1,0,0,0,0,0,0
322,0,2,0,0,1,0,0,0,0,0,0
323,0,2,1,0,1,0,0,0,0,0,0
324,0,7,0,0,1,0,0,0,0,0,0
325,1,23,1,0,0,0,0,0,0,0,0
326,0,0,1,0,0,0,0,0,0,1,1
327,1,12,0,0,1,0,0,0,0,0,0
328,0,5,0,0,1,0,0,0,0,0,0
329,0,3,0,0,0,0,0,0,0,0,1
330,0,0,0,0,0,0,1,0,0,1,0
331,1,14,0,0,1,0,0,0,0,0,0
332,0,2,0,0,1,0,0,0,0,0,0
333,1,0,0,1,1,0,0,0,0,0,1
334,0,0,0,0,0,0,0,0,0,0,0
335,0,5,1,0,1,0,0,0,0,0,0
336,1,9,0,0,1,0,0,0,0,0,0
337,1,4,1,0,0,0,0,0,0,0,0
338,0,3,0,0,1,0,0,0,0,0,0
339,0,4,1,0,0,0,0,0,1,0,0
340,0,1,0,1,0,0,1,0,0,0,1
341,0,0,0,0,0,0,0,0,0,1,1
342,0,0,1,0,0,0,0,0,0,0,1
343,0,0,0,1,1,0,0,0,0,1,0
344,0,11,1,0,1,0,0,0,0,0,0
345,1,0,0,0,0,0,0,0,0,0,1
346,0,0,0,1,0,0,1,0,0,0,1
347,0,0,0,1,0,0,0,0,0,0,0
348,0,2,1,0,0,0,0,0,0,1,1
349,1,7,0,0,1,0,0,0,0,0,1
350,1,1,0,1,0,0,0,0,0,0,0
351,1,8,0,0,1,0,0,0,0,0,0
352,0,1,0,0,0,0,0,0,1,0,0
353,1,0,0,1,1,0,0,0,0,0,0
354,1,0,0,0,0,0,0,0,0,0,1
355,1,21,1,0,1,0,0,0,0,0,1
356,0,3,0,1,1,0,0,0,0,0,0
357,1,1,1,0,0,0,1,0,0,0,1
358,0,0,0,0,0,0,0,0,0,0,0
359,1,1,1,0,1,0,0,0,0,0,0
360,0,3,0,0,0,0,0,0,0,0,1
361,0,3,0,0,1,0,0,0,0,0,0
362,1,3,0,1,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0,0
364,0,2,0,0,1,0,0,0,0,0,0
365,1,3,0,1,1,0,0,0,0,1,0
366,1,1,0,1,0,0,0,0,0,0,0
367,0,2,0,0,0,0,0,0,0,0,1
368,0,0,0,1,0,0,0,0,0,1,0
369,0,0,0,0,0,0,0,0,0,0,1
370,1,2,0,0,0,0,1,0,0,0,0
371,1,1,0,1,1,0,0,0,0,0,0
372,1,1,0,1,1,0,0,0,0,0,1
373,0,4,1,0,0,0,0,0,0,0,0
374,0,3,1,0,1,0,0,0,0,1,0
375,0,1,0,0,1,0,0,0,0,0,1
376,0,5,0,0,1,0,0,0,0,0,0
377,0,0,0,1,0,0,0,0,0,0,1
378,1,2,1,0,1,0,0,0,0,1,0
379,1,0,0,0,0,0,0,0,0,0,1
380,1,0,0,1,0,0,0,0,1,0,0
381,1,13,0,0,1,0,0,0,0,0,1
382,1,1,0,0,1,0,0,0,0,0,1
383,1,3,0,0,1,0,0,0,0,0,0
384,1,6,1,0,0,0,0,0,0,0,0
385,1,1,0,0,0,0,0,0,0,0,0
386,1,5,1,0,1,0,0,0,0,0,0
387,1,10,0,0,1,0,0,0,0,0,0
388,0,5,0,0,1,0,0,0,0,0,0
389,0,2,1,0,0,0,0,0,0,0,0
390,0,0,0,0,1,0,0,0,0,0,0
391,0,6,0,1,1,0,0,0,0,0,0
392,1,28,1,0,1,0,0,0,0,0,0
393,1,8,0,0,1,0,0,0,0,0,0
394,1,6,0,1,1,0,0,0,0,1,0
395,0,2,1,0,1,0,0,0,0,0,1
396,1,12,1,0,1,0,0,0,0,0,1
397,1,1,0,1,0,0,0,0,0,0,1
398,0,1,0,0,1,0,0,0,0,0,1
399,1,1,0,1,1,0,0,0,0,0,0
400,0,0,1,0,0,0,0,0,0,0,0
401,0,0,0,1,0,0,1,0,0,0,0
402,0,3,0,0,0,0,0,0,0,0,0
403,0,3,1,0,0,0,0,0,0,0,0
404,1,4,0,0,0,0,0,0,0,0,0
405,0,0,1,0,0,0,0,0,0,0,0
406,1,4,0,0,0,0,1,0,0,0,0
407,1,1,1,0,0,0,0,0,0,0,0
408,0,0,0,0,0,1,0,0,0,0,0
409,0,1,1,0,0,0,1,0,0,0,0
410,0,2,0,0,0,0,1,0,0,0,1
411,1,6,0,1,0,0,0,0,0,1,0
412,1,2,0,1,0,0,0,0,0,0,1
413,1,5,1,0,0,1,0,0,0,0,0
414,0,1,0,0,1,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,1,1
416,1,0,0,0,0,0,0,0,0,0,1
417,0,0,1,0,1,0,0,0,0,0,1
418,1,4,0,0,1,0,0,0,0,0,0
419,0,0,1,0,0,0,0,0,0,1,1
420,0,0,0,0,1,0,0,0,0,0,0
421,1,1,0,0,0,0,0,0,0,0,1
422,1,7,0,0,0,0,1,0,0,0,0
423,0,20,1,0,0,0,1,0,0,0,0
424,1,33,1,0,1,0,0,0,0,0,0
425,0,2,0,0,0,0,0,0,0,0,0
426,0,1,1,0,0,0,0,0,0,0,1
427,0,1,0,0,0,0,0,0,0,0,0
428,0,4,1,0,0,0,0,0,0,0,1
429,0,12,1,0,0,0,0,0,1,0,0
430,0,0,0,0,1,0,0,0,0,1,1
431,0,0,1,0,0,0,0,0,0,1,1
432,0,7,0,0,0,0,1,0,0,0,1
433,0,2,0,0,0,0,0,0,1,0,1
434,0,2,0,0,1,0,0,0,0,0,1
435,0,6,0,0,1,0,0,0,0,1,0
436,0,0,0,0,0,0,0,0,1,0,1
437,1,10,1,0,1,0,0,0,0,0,0
438,1,5,0,0,1,0,0,0,0,0,0
439,0,0,0,1,0,0,0,0,0,0,0
440,1,1,1,0,0,0,0,0,0,0,0
441,0,4,1,0,1,0,0,0,0,0,1
442,1,0,0,1,1,0,0,0,0,0,0
443,1,4,0,0,0,0,0,0,0,0,0
444,0,0,0,1,0,0,0,0,0,0,0
445,0,0,0,1,0,0,0,0,0,0,1
446,0,6,0,0,0,0,0,0,0,0,0
447,1,1,0,0,1,0,0,0,0,0,1
448,0,0,0,0,1,0,0,0,0,0,0
449,1,6,0,0,1,0,0,0,0,0,0
450,1,1,0,0,0,0,0,0,0,0,0
451,1,0,0,1,0,0,0,0,0,0,0
452,0,1,0,0,0,0,0,0,1,0,0
453,0,0,0,0,0,0,0,0,0,0,0
454,0,20,0,0,0,0,1,0,0,0,0
455,0,0,0,0,1,0,0,0,0,0,0
456,1,14,0,0,1,0,0,0,0,0,0
457,1,9,0,1,0,0,0,0,0,0,1
458,1,0,0,1,0,0,1,0,0,0,0
459,0,1,1,0,0,0,0,0,0,0,1
460,1,5,0,0,1,0,0,0,0,0,0
461,1,2,0,0,0,0,1,0,0,0,1
462,1,2,1,0,0,0,0,0,0,0,0
463,0,1,0,0,1,0,0,0,0,0,1
464,0,2,0,1,0,0,0,0,0,0,0
465,0,8,0,0,1,0,0,0,0,0,0
466,0,6,1,0,1,0,0,0,0,0,0
467,0,3,0,0,1,0,0,0,0,0,0
468,0,0,1,0,0,0,0,0,1,1,0
469,1,3,0,0,1,0,0,0,0,0,0
470,1,3,0,1,1,0,0,0,0,0,0
471,0,1,1,0,0,0,0,0,0,0,1
472,1,3,0,1,1,0,0,0,0,0,0
473,0,3,1,0,1,0,0,0,0,0,1
474,0,0,0,0,1,0,0,0,0,0,0
475,0,1,0,0,0,0,0,0,0,0,0
476,1,16,0,0,1,0,0,0,0,0,0
477,0,0,0,0,1,0,0,0,0,1,1
478,0,1,0,1,1,0,0,0,0,0,0
479,1,2,0,0,0,0,0,0,0,0,0
480,0,5,0,0,0,0,0,0,0,0,0
481,0,8,0,1,0,0,1,0,0,0,0
482,1,5,0,0,1,0,0,0,0,0,1
483,0,11,0,0,0,0,0,0,0,0,1
484,1,6,0,0,1,0,0,0,0,1,0
485,0,0,0,0,0,0,0,0,0,0,1
486,0,15,0,0,1,0,0,0,0,0,0
487,0,4,0,0,0,0,1,0,0,0,0
488,0,0,0,0,1,0,0,0,0,1,1
489,0,1,1,0,0,0,1,0,0,0,0
490,1,2,1,0,0,0,0,0,0,1,1
491,1,5,1,0,0,0,0,0,0,0,0
492,1,0,1,0,0,0,0,0,0,0,1
493,0,0,1,0,0,0,0,0,0,1,1
494,1,5,0,0,1,0,0,0,0,0,0
495,0,0,0,1,0,0,0,0,0,1,1
496,0,1,0,1,0,0,0,0,0,0,1
497,1,0,0,0,0,0,0,0,1,0,1
498,0,0,0,0,0,0,1,0,0,0,1
499,0,1,0,0,0,0,0,0,1,0,0
500,0,0,0,0,1,0,0,0,0,0,1
501,0,0,0,1,0,0,0,0,0,1,0
502,0,0,0,0,1,0,0,0,0,0,1
503,1,0,0,1,0,0,1,0,0,0,1
504,0,1,0,0,0,0,1,0,0,0,0
505,0,0,0,1,0,0,0,0,0,1,0
506,0,1,0,1,1,0,0,0,0,0,0
507,1,3,0,0,1,0,0,0,0,0,1
508,1,3,0,0,1,0,0,0,0,0,1
509,0,0,0,0,1,0,0,0,0,0,0
510,1,11,0,1,1,0,0,0,0,0,0
511,0,1,0,0,1,0,0,0,0,1,0
512,1,1,0,0,0,0,1,0,0,0,1
513,0,1,0,0,1,0,0,0,0,0,1
514,1,6,0,0,0,0,0,0,0,0,0
515,0,0,1,0,0,0,0,0,0,1,1
516,0,2,0,0,0,0,0,0,0,0,1
517,1,5,0,0,1,0,0,0,0,0,1
518,0,0,0,0,0,0,0,0,0,0,0
519,1,0,0,1,1,0,0,0,0,0,0
520,1,4,0,0,1,0,0,0,0,0,0
521,0,0,1,0,0,0,0,0,0,0,1
522,1,2,0,0,0,0,0,0,0,0,1
523,0,10,0,0,1,0,0,0,0,0,0
524,1,9,1,0,1,0,0,0,0,0,1
525,0,3,0,1,0,0,0,0,0,1,0
526,0,0,0,1,1,0,0,0,0,1,1
527,1,2,0,1,0,0,0,0,0,1,0
528,0,1,0,0,1,0,0,0,0,0,1
529,0,0,0,0,1,0,0,0,0,0,1
530,1,15,1,0,1,0,0,0,0,0,0
531,0,0,0,0,0,0,1,0,0,0,1
532,1,4,0,1,1,0,0,0,0,0,0
533,1,3,0,0,0,0,0,0,0,0,0
534,0,5,0,0,0,0,0,0,0,0,1
535,0,1,0,0,0,0,0,0,0,0,0
536,1,3,0,1,0,0,0,0,0,0,0
537,0,0,0,0,1,0,0,0,0,0,0
538,1,18,0,0,1,0,0,0,0,0,0
539,1,0,0,0,0,0,0,0,0,1,0
540,0,0,0,1,0,0,0,0,1,0,0
541,1,4,1,0,1,0,0,0,0,1,0
542,1,0,1,0,0,0,0,0,0,1,1
543,0,0,0,1,1,0,0,0,0,0,0
544,0,0,0,1,1,0,0,0,0,1,0
545,0,0,0,0,1,0,0,0,0,0,0
546,1,8,0,0,1,0,0,0,0,0,0
547,0,10,0,0,1,0,0,0,0,1,0
548,0,1,1,0,0,0,0,0,0,1,0
549,1,2,0,0,0,0,0,0,0,0,0
550,1,0,0,0,1,0,0,0,0,0,0
551,1,1,0,1,1,0,0,0,0,0,0
552,1,13,0,0,1,0,0,0,0,0,0
553,1,1,0,0,0,0,0,0,0,0,0
554,1,23,0,0,1,0,0,0,0,0,0
555,0,20,1,0,1,0,0,0,0,0,0
556,0,3,0,1,1,0,0,0,0,0,0
557,1,1,0,0,1,0,0,0,0,0,1
558,1,2,0,1,0,0,1,0,0,0,1
559,1,2,1,0,1,0,0,0,0,0,1
560,0,0,0,0,1,0,0,0,0,0,1
561,0,0,0,0,1,0,0,0,0,1,0
562,0,1,1,0,0,0,0,0,0,0,1
563,0,0,1,0,0,0,1,0,0,0,0
564,0,0,0,1,1,0,0,0,0,0,0
565,0,11,0,0,1,0,0,0,0,0,0
566,1,4,0,0,0,0,0,0,1,0,1
567,0,0,1,0,0,0,0,0,1,0,0
568,0,0,0,0,1,0,0,0,0,1,1
569,0,2,1,0,0,0,0,0,0,1,0
570,0,0,0,0,1,0,0,0,0,0,1
571,1,0,0,0,1,0,0,0,0,0,1
572,1,17,1,0,1,0,0,0,0,0,0
573,0,3,0,1,1,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,1,1
575,1,15,0,0,0,0,0,0,0,1,0
